FullPath;Package;Element;Property;DependentPackage;DependendElement;GUID
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Quality evaluation report;{FBC4A1D1-0D67-496d-8293-6792675729FE}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality scope;{CF37C7A5-33B7-4190-8CDF-81C7CA476D62}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Metadata ISO 19115-1;{CCEEF5E8-5EE7-4adf-9E79-1E7F8651BEEF}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality element;{2DB9B425-F358-4a8e-9936-3F4B0842B28D}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality element;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality result;{7D011CFF-E2DF-4663-8868-49A584F92A7B}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality element;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality measure;{C589DE3E-34E8-4201-B0DD-46563374E514}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality element;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Metaquality;{BDA89B94-3657-4635-A342-7815B660D5D8}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality element;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality;{DE88C8AF-F930-4dd5-AA45-55BCAED7F32E}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality element;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality evaluation;{573125F3-C5E9-4a52-9E12-5CE886C03002}
ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1;Data quality concepts;Data quality evaluation;Dependency;ISO TC211.ISO 19157 Data quality.ISO/DIS 19157-1 Edition 1.Data quality concepts;Data quality element;{2DB9B425-F358-4a8e-9936-3F4B0842B28D}
